Index,PubID,Result
44,35195530,"[{'label': 'LABEL_1', 'score': 0.5073270201683044}]"
45,32479149,"[{'label': 'LABEL_1', 'score': 0.6270683407783508}]"
46,30550210,"[{'label': 'LABEL_1', 'score': 0.7020837664604187}]"
47,36132547,"[{'label': 'LABEL_1', 'score': 0.6842540502548218}]"
48,34844966,"[{'label': 'LABEL_1', 'score': 0.6237202286720276}]"
49,33350727,"[{'label': 'LABEL_1', 'score': 0.5899723768234253}]"
50,36759235,"[{'label': 'LABEL_1', 'score': 0.6472880244255066}]"
51,36472185,"[{'label': 'LABEL_0', 'score': 0.667651891708374}]"
52,35658804,"[{'label': 'LABEL_1', 'score': 0.5812835693359375}]"
53,32742882,"[{'label': 'LABEL_0', 'score': 0.7354698181152344}]"
54,30737366,"[{'label': 'LABEL_1', 'score': 0.6210199594497681}]"
55,31343402,"[{'label': 'LABEL_1', 'score': 0.6123981475830078}]"
56,33461602,"[{'label': 'LABEL_1', 'score': 0.639290452003479}]"
57,30217958,"[{'label': 'LABEL_1', 'score': 0.6764851808547974}]"
58,30612948,"[{'label': 'LABEL_1', 'score': 0.5597404837608337}]"
59,33981141,"[{'label': 'LABEL_1', 'score': 0.596424400806427}]"
60,36286904,"[{'label': 'LABEL_0', 'score': 0.772051990032196}]"
61,34093730,"[{'label': 'LABEL_1', 'score': 0.6453381180763245}]"
62,33325455,"[{'label': 'LABEL_0', 'score': 0.6325682997703552}]"
63,30829895,"[{'label': 'LABEL_0', 'score': 0.5078445672988892}]"
64,34763643,"[{'label': 'LABEL_1', 'score': 0.6646373867988586}]"
65,36041937,"[{'label': 'LABEL_1', 'score': 0.5513754487037659}]"
66,33781322,"[{'label': 'LABEL_1', 'score': 0.5728373527526855}]"
67,36509409,"[{'label': 'LABEL_1', 'score': 0.5444051623344421}]"
68,32719055,"[{'label': 'LABEL_1', 'score': 0.5995883345603943}]"
69,31753841,"[{'label': 'LABEL_1', 'score': 0.536627471446991}]"
70,36894266,"[{'label': 'LABEL_1', 'score': 0.5445722341537476}]"
71,33371055,"[{'label': 'LABEL_1', 'score': 0.5789090991020203}]"
72,33901786,"[{'label': 'LABEL_1', 'score': 0.5527932643890381}]"
73,34465321,"[{'label': 'LABEL_1', 'score': 0.5192537307739258}]"
74,37179811,"[{'label': 'LABEL_1', 'score': 0.5848164558410645}]"
75,36792160,"[{'label': 'LABEL_1', 'score': 0.5906998515129089}]"
